X,Y,Depth_km
-123.1708296,41.59663013,-40
-123.1879144,41.92181113,-40
-123.1948089,42.17872506,-40
-123.2028652,42.36213083,-40
-123.2190354,42.72812165,-40
-123.219448,43.03869093,-40
-123.2289733,43.34555034,-40
-123.2423384,43.71712402,-40
-123.2510605,43.86294986,-40
-123.2497898,44.2183757,-40
-123.2409861,44.52363281,-40
-123.2247379,44.91600782,-40
-123.2117642,45.31913257,-40
-123.1940674,45.71796272,-40
-123.1773899,46.0457374,-40
-123.1466683,46.31489439,-40
-123.1215628,46.46416878,-40
-123.0573173,46.59867529,-40
-122.9776915,46.78343228,-40
-122.933681,46.88087057,-40
-122.8794868,47.12309929,-40
-122.877567,47.26258992,-40
-122.9054277,47.42306918,-40
-122.9412753,47.55529743,-40
-122.9790009,47.68384516,-40
-123.0286818,47.80396095,-40
-123.1114924,47.9470943,-40
-123.2036875,48.08859014,-40
-123.3144818,48.21090811,-40
-123.4460367,48.35345738,-40
-123.6769941,48.54946397,-40
-123.8610945,48.67550874,-40
-124.2109129,48.87870567,-40
-124.6072609,49.09689147,-40
